"colname","filterzeros","uselog","dotable","dobarplot","doboxplot","dohist","dodensity","doqqplot","desc"
"MSSubClass",FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,"Le case più frequenti sono a 1 o 2 piani successive al 1946"
"MSZoning",FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,"Le case nel dataset sono prevalentemente in zone residenziali a bassa e media densità"
"LotFrontage",FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,"La distribuzione non è normale nelle code. Il boxplot evidenzia che i valori sono solitamente nell'intervallo tra 50 e 100 piedi lineari, spesso possono raggiungere fino ai 200 piedi lineari. Inoltre è presente un outlier superiore a 300 piedi lineari. Confrontando il primo e il terzo quartile si nota che la distribuzione è solo lievemente asimmetrica."
"LotArea",FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,"La distribuzione non è normale nelle code, non lo è neanche il suo logaritmo. La media si attesta intorno ai 10500 piedi quadrati e dai quartili si nota che è asimmetrica."
"Street",FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,"Solo 6 delle case hanno un accesso non asfaltato sulla strada"
"Alley",FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,"Le case generalmente non hanno un vialetto, tra quelle in cui c'è per metà sono asfaltati"
"LotShape",FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,"La maggior parte delle proprietà nel dataset sono regolari o presentano lievi irregolarità nella forma"
"LandContour",FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,"Prevalgono le case costruite in piano"
"Utilities",FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,"Hanno tutte i servizi essenziali, tranne una"
"LotConfig",FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,"I terreni interni e in angolo sono più frequenti"
